Sensor,Timestamp,X,Y,Z
accelerometer,2023-10-19 22:00:29.068303,-0.9138878456957638,-0.49997196738719935,0.1268552785873413
accelerometer,2023-10-19 22:00:29.078298,-0.9466279396504164,-0.59594403193295,0.8662520881652832
accelerometer,2023-10-19 22:00:29.088293,-0.9164461518764495,-0.23267098401635883,1.339430156651139
accelerometer,2023-10-19 22:00:29.098289,-0.6321266675569117,-0.37720337359160183,1.5265882205098866
accelerometer,2023-10-19 22:00:29.108284,-0.31570889431759713,-0.6925326209418475,1.3984236128896474
accelerometer,2023-10-19 22:00:29.118279,-0.6543618802405894,-0.2587913675703108,1.1691063232153653
accelerometer,2023-10-19 22:00:29.128274,-1.1230939291030169,0.39048590288236734,1.0436182413280009
accelerometer,2023-10-19 22:00:29.138269,-0.17296086740847677,0.1907050888158381,-0.06212006382644176
accelerometer,2023-10-19 22:00:29.148264,0.748915456290543,0.7719725067511201,-1.0405319657504557
accelerometer,2023-10-19 22:00:29.158259,0.9149480222731828,1.2552525747954846,-1.5774690974414347
accelerometer,2023-10-19 22:00:29.168254,0.5418436814982444,0.9164242323055863,-1.6174129852950572
accelerometer,2023-10-19 22:00:29.178250,0.07543192880954593,0.4322472154214978,-1.297837332546711
accelerometer,2023-10-19 22:00:29.188245,-0.3430240406140685,-0.04687061837688088,-0.8124474327415228
accelerometer,2023-10-19 22:00:29.198240,-0.5988822042766958,-0.4021389312751591,-0.670212214192748
accelerometer,2023-10-19 22:00:29.208235,-0.727792588762939,-0.3983404157750308,-0.7256342416852712
accelerometer,2023-10-19 22:00:29.218230,-0.7341264679595828,0.03572480885386467,-0.7967851687073707
accelerometer,2023-10-19 22:00:29.228225,-0.560027426834032,0.519832121502608,-0.790014651659131
accelerometer,2023-10-19 22:00:29.238220,-0.4923585697740316,0.8725888899713754,-0.7304243985712527
accelerometer,2023-10-19 22:00:29.248215,-0.7112207356031983,1.1084168767139315,-0.5165379022628068
